scenario,p,q,HAC,N,R2,AdjR2,r_BIST100_L0:coef,r_BIST100_L0:t,r_BIST100_L0:p,r_USDTRY_L0:coef,r_USDTRY_L0:t,r_USDTRY_L0:p,r_USDTRY_L1:coef,r_USDTRY_L1:t,r_USDTRY_L1:p,r_BRENT_L0:coef,r_BRENT_L0:t,r_BRENT_L0:p,d_VIX_L0:coef,d_VIX_L0:t,d_VIX_L0:p,d_CDS_L0:coef,d_CDS_L0:t,d_CDS_L0:p,VIX_L0:coef,VIX_L0:t,VIX_L0:p,CDS_L0:coef,CDS_L0:t,CDS_L0:p
"VIX=diff, CDS=diff",1,1,1,1508,0.44363119404861595,0.43728336203440554,1.0481649431510316,25.437545353306625,9.696397197213658e-143,0.09772995922226305,1.8751625954969287,0.060770358262605816,0.07468366755084235,1.9439857270634484,0.05189717229606647,0.03874314786295939,1.7637431919631525,0.07777522568105143,0.053143278249535006,1.9201762082543428,0.05483564575754525,0.003363412685422677,0.7411695684592003,0.45859063243083775,,,,,,
"VIX=diff, CDS=diff",1,1,3,1508,0.44363119404861595,0.43728336203440554,1.0481649431510316,25.175800509942793,7.375776721935507e-140,0.09772995922226305,1.8410472968301934,0.06561462795432595,0.07468366755084235,1.9725453972857456,0.04854737924542025,0.03874314786295939,1.790118268114455,0.07343490060198438,0.053143278249535006,1.8841272913384948,0.059547759468888836,0.003363412685422677,0.7444956337206919,0.45657668174899513,,,,,,
"VIX=diff, CDS=diff",1,1,5,1508,0.44363119404861595,0.43728336203440554,1.0481649431510316,24.846489426929036,2.8219639458996445e-136,0.09772995922226305,1.829198211864084,0.0673699202318824,0.07468366755084235,2.060900597879681,0.039312524253807615,0.03874314786295939,1.7622524758489346,0.0780266495054155,0.053143278249535006,1.9048966434283394,0.0567935076652632,0.003363412685422677,0.742363687872426,0.45786701412221675,,,,,,
"VIX=diff, CDS=diff",3,3,1,1506,0.451423327723509,0.4383619783835926,1.0442049486111358,25.52886177377395,9.42845370446762e-144,0.11064622646086622,2.1491844945091643,0.03161977791110087,0.0769195406981901,1.8685283676513118,0.06168845985317832,0.045378767882412185,2.1347134462237936,0.032784423984159775,0.05204312003762907,1.9010373752270964,0.05729711729011951,0.003160595290677291,0.7206357488896622,0.47113365296407383,,,,,,
"VIX=diff, CDS=diff",3,3,3,1506,0.451423327723509,0.4383619783835926,1.0442049486111358,25.654680017204885,3.7490559973798326e-145,0.11064622646086622,2.094580879245329,0.03620826641407176,0.0769195406981901,1.8484080818941506,0.0645433304425454,0.045378767882412185,2.1621829910822705,0.030604074056601187,0.05204312003762907,1.922487141728447,0.05454449000187488,0.003160595290677291,0.721684688309591,0.4704883580448952,,,,,,
"VIX=diff, CDS=diff",3,3,5,1506,0.451423327723509,0.4383619783835926,1.0442049486111358,25.6537602883814,3.838703743545633e-145,0.11064622646086622,2.060752872909078,0.03932662259961511,0.0769195406981901,1.9267683595054708,0.05400850429267671,0.045378767882412185,2.114046610047488,0.03451128654043007,0.05204312003762907,1.9669752693606923,0.049186061952191946,0.003160595290677291,0.7139240566879711,0.4752741408047455,,,,,,
"VIX=diff, CDS=diff",5,5,1,1504,0.4615315186629194,0.4418495672761158,1.0409516544195663,25.93153850527067,2.9373747255798893e-148,0.11798968951512395,2.266349922012082,0.02342996711426647,0.07110897063633653,1.5753244099991357,0.11518158237305604,0.046431603868360226,2.1688437717815923,0.03009454680214517,0.051801184416360974,1.888158488218304,0.05900467683854589,0.003007351804550348,0.6773890653163165,0.4981591342830428,,,,,,
"VIX=diff, CDS=diff",5,5,3,1504,0.4615315186629194,0.4418495672761158,1.0409516544195663,26.25899172578006,5.642719049109595e-152,0.11798968951512395,2.275600215374732,0.022869948438330897,0.07110897063633653,1.5799327616264596,0.11412226552651801,0.046431603868360226,2.1887664938390623,0.02861381621548862,0.051801184416360974,1.8858094434078359,0.05932063792231287,0.003007351804550348,0.6789689272837697,0.4971575503333894,,,,,,
"VIX=diff, CDS=diff",5,5,5,1504,0.4615315186629194,0.4418495672761158,1.0409516544195663,26.254539551452012,6.343526364429614e-152,0.11798968951512395,2.3115514960531627,0.02080241221336979,0.07110897063633653,1.6852910240689756,0.09193243664544755,0.046431603868360226,2.152280736850965,0.03137525006046615,0.051801184416360974,1.9108681550749547,0.056021526365491715,0.003007351804550348,0.672713135424877,0.5011298093066036,,,,,,
"VIX=diff, CDS=level",1,1,1,1508,0.4450924342717131,0.4387612741258199,1.0534176682657757,25.445302984077586,7.957264080507833e-143,0.08993856650527006,1.7521330176139374,0.07975093801806804,0.0719566642835962,1.954861389658002,0.05059943287205773,0.036310679955469397,1.6502870207831342,0.09888424564915808,0.05135031228604585,1.8742919569145815,0.06089019550296569,,,,,,,0.002899185092622339,0.6416614482739689,0.5210930256789417
"VIX=diff, CDS=level",1,1,3,1508,0.4450924342717131,0.4387612741258199,1.0534176682657757,25.270770055781806,6.69652641292909e-141,0.08993856650527006,1.7305801885235323,0.08352666771263892,0.0719566642835962,1.967159305680763,0.049164847876175186,0.036310679955469397,1.6703786136278864,0.09484447822189063,0.05135031228604585,1.8370936432651364,0.06619607243163173,,,,,,,0.002899185092622339,0.646196372037405,0.5181521887874434
